"ID","Player","Team","Position","Owner","Next Opponent","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@BRF Sat 8:00AM","269.5","16.84","100%","0%","Nov 9","AVL","L 0-4","1.5","90","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","2","1","0","0","4","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@BRF Sat 8:00AM","269.5","16.84","100%","0%","Nov 2","MCI","L 1-3","7","90","0","0","0","0","0","2","0","0","1","0","0","1","1","0","0","0","1","0","0","2","0","0","0","3","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@BRF Sat 8:00AM","269.5","16.84","100%","0%","Oct 26","NOT","W 2-0","8","88","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@BRF Sat 8:00AM","269.5","16.84","100%","0%","Oct 18","CRY","T 3-3","14","90","0","0","0","0","1","1","0","0","4","1","0","0","0","0","1","0","3","0","1","5","0","0","0","3","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@BRF Sat 8:00AM","269.5","16.84","100%","0%","Oct 3","FUL","W 3-1","37","90","2","1","0","1","0","3","0","1","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@BRF Sat 8:00AM","269.5","16.84","100%","0%","Sep 27","LEE","T 2-2","20.5","90","1","0","0","1","0","1","0","1","2","0","0","0","0","0","1","0","3","0","1","2","0","0","0","2","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@BRF Sat 8:00AM","269.5","16.84","100%","0%","Sep 21","NEW","T 0-0","7","90","0","0","0","1","0","0","0","2","2","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@BRF Sat 8:00AM","269.5","16.84","100%","0%","Sep 13","BHA","W 2-1","34","90","1","1","0","2","0","1","0","3","0","0","0","0","0","0","0","3","3","0","0","4","0","0","0","1","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@BRF Sat 8:00AM","269.5","16.84","100%","0%","Aug 30","TOT","W 1-0","10","90","0","0","0","2","0","1","0","1","3","1","0","0","0","0","0","0","4","0","0","2","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@BRF Sat 8:00AM","269.5","16.84","100%","0%","Aug 23","WOL","W 1-0","17","90","0","1","0","3","0","1","1","0","4","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
